hw1,hw2,tw,bf1,tf1,bf2,tf2,psi,L,y,y_norm
400,114,4.65,200,7.89,200,7.89,0.0,6400,197.7774923,2.1937106452
1000,667,4.19,750,32.37,500,12.37,0.25,14000,16510.20154,3.6431333822
800,200,6.86,200,8.63,200,6.86,1.0,27200,20.58112654,1.1403811595
400,114,2.25,300,5.21,400,18.74,-0.5,14400,460.5481786,2.289531121
143,500,3.4,500,30.79,500,30.79,0.25,17000,3172.986182,1.5586733095
900,900,7.71,450,12.79,225,15.51,-0.75,5400,6310.420422,2.0944351537
400,160,2.72,400,18.74,400,18.74,0.5,4000,5787.08293,1.344131843
700,700,2.93,175,10.78,700,25.05,-0.5,7000,1604.03526,0.4033192365
700,200,12.6,175,13.36,175,12.6,-0.25,1400,7085.740293,2.4068413803
400,100,1.33,300,22.89,100,1.74,0.75,4800,1415.356165,5.5009364953
167,500,1.67,375,10.66,500,17.89,0.25,6000,2070.753999,0.9501385447
500,200,1.67,375,13.42,375,13.42,1.0,11000,488.8710558,1.0161999455
500,333,4.29,250,10.79,250,10.79,0.0,16000,159.4611023,2.0026338119
200,600,5.14,450,32.68,150,8.68,-0.75,22800,1470.433935,6.1182116025
167,500,2.4,500,17.89,125,3.55,-0.25,6000,2579.589751,4.3222732366
400,400,2.72,400,9.89,100,5.79,-0.25,7200,1051.905353,5.7814203831
300,75,1.11,150,2.05,225,5.57,0.75,12000,8.608496261,1.0522319459
200,600,24.0,300,24.0,150,24.0,0.75,21600,378.210083,1.4491204002
250,1000,6.79,250,14.47,1000,17.37,0.25,16000,1298.03093,0.6882309555
360,900,16.2,225,16.2,675,19.18,0.0,9000,1511.12139,0.5978968889
600,300,2.23,300,3.0,600,39.16,0.5,21600,1591.672999,2.4375096457
300,100,12.0,225,12.0,300,12.0,0.25,6600,422.1103445,1.3897659131
600,900,16.2,225,16.2,225,16.2,-0.5,10800,825.9199705,2.3762523744
600,200,6.97,300,8.53,300,6.97,-0.75,8400,765.2180495,3.259561319
400,200,7.2,400,26.11,400,30.53,0.0,16000,2155.383266,1.8748291329
500,1000,3.71,750,24.08,250,3.71,1.0,36000,1157.380777,4.5497234998
600,150,4.08,600,41.37,150,5.92,0.75,8400,9567.874032,5.4719464159
900,900,6.11,225,13.86,225,13.86,0.5,25200,96.0671984,1.3983581735
600,171,3.38,600,48.0,150,3.71,1.0,21600,3227.77144,5.22294003
300,150,1.44,300,10.74,75,2.13,0.5,11400,141.9612967,6.5474845245
400,267,3.43,100,3.58,300,3.43,0.5,3200,35.51421962,0.2194299846
300,600,6.97,150,6.97,600,39.16,1.0,2400,4146.785911,0.2334435334
300,120,2.57,150,5.92,300,5.21,0.75,8400,30.53875746,0.7217249345
500,167,1.86,125,9.54,375,6.51,-0.5,6000,149.2869474,0.6642335909
125,500,1.67,125,4.47,250,4.34,1.0,8000,12.53410625,0.4556473807
